证券代码,企业名称,会计区间,速动比率 x1,利息保障倍数 x2,权益乘数 x3,固定资产周转率 x4,总资产周转率 x5,长期资本收益率 x6,营业利润率 x7,净利润现金含量 x8,总资产增长率 x9,FAIL
600213,扬州亚星客车股份有限公司,43465,1.5567,1.2256,18.9876,11.05568114,0.46988538,0.402412093,0.9484,-22.8742608,10.9315,0
600303,辽宁曙光汽车集团股份有限公司,40543,0.9871,8.537,3.1062,4.546785114,0.918021238,0.160159635,5.1057,1.196318958,29.5567,0
600303,辽宁曙光汽车集团股份有限公司,40908,0.8323,4.3374,3.0711,4.552291875,0.814853861,0.090074012,2.9335,0.903313213,15.2322,0
600303,辽宁曙光汽车集团股份有限公司,41274,0.8229,3.1111,3.0052,2.612864566,0.691170078,0.087766949,-0.8598,1.750331816,5.368,0
600303,辽宁曙光汽车集团股份有限公司,41639,0.7165,-1.3481,3.288,2.188167454,0.637865462,-0.041182638,-8.539,0.804428337,-6.1559,0
600303,辽宁曙光汽车集团股份有限公司,42004,0.6289,1.5123,3.3113,1.699566282,0.484757891,0.049573986,-4.6169,8.425313573,10.3671,0
600303,辽宁曙光汽车集团股份有限公司,42369,0.781,2.3608,3.9929,1.957851364,0.438827228,0.054903742,-0.9434,-6.827918835,20.6887,0
600303,辽宁曙光汽车集团股份有限公司,42735,0.8444,1.9027,3.139,1.270165949,0.40123715,0.043866745,1.3958,-8.707123582,-7.7864,0
600303,辽宁曙光汽车集团股份有限公司,43100,0.9775,6.2779,2.3742,1.501855571,0.490989124,0.117325251,9.1968,1.504109016,-16.6945,0
600303,辽宁曙光汽车集团股份有限公司,43465,0.8815,-1.0686,2.1075,1.215231813,0.45550393,-0.007817544,-3.2926,0.159425843,-17.5113,0
600375,华菱星马汽车(集团)股份有限公司,40543,0.7709,55.0449,2.5103,10.64569034,1.936074505,0.74709775,7.8373,1.16830513,18.1172,0
600375,华菱星马汽车(集团)股份有限公司,40908,0.7537,23.4799,2.2049,5.400206913,1.155231542,0.293669144,8.1813,0.540099627,-5.409,0
600375,华菱星马汽车(集团)股份有限公司,41274,0.6369,5.7001,2.5426,2.056990411,0.647103617,0.07789654,2.0862,4.543143977,16.5768,0
600375,华菱星马汽车(集团)股份有限公司,41639,0.8282,6.6339,1.9914,2.157868754,0.78149888,0.090181227,3.5925,1.867082159,21.3783,0
600375,华菱星马汽车(集团)股份有限公司,42004,0.5499,-7.217,2.4179,1.532148979,0.566441444,-0.078344599,-9.3659,0.62805139,5.0938,0
600375,华菱星马汽车(集团)股份有限公司,42369,0.4673,-4.9621,3.2542,1.140577689,0.403486122,-0.135935305,-23.1922,-0.545965324,-0.4788,0
600375,华菱星马汽车(集团)股份有限公司,42735,0.5315,1.9503,3.5356,1.347860146,0.414377591,0.032331206,-6.5013,8.883044945,11.2431,0
600375,华菱星马汽车(集团)股份有限公司,43100,0.5187,1.8375,3.7608,2.007417375,0.56308224,0.028014626,1.308,0.70481694,8.9322,0
600375,华菱星马汽车(集团)股份有限公司,43465,0.6034,1.5302,4.3255,2.287129337,0.584079952,0.03099285,0.7266,-6.431956719,17.3449,0
600418,安徽江淮汽车集团股份有限公司,43465,0.8351,-320.4635,3.4603,3.80031946,1.054751742,-0.064875672,-3.0292,2.431187062,6.6978,0
600480,凌云工业股份有限公司,40543,1.4433,14.1115,1.7041,5.316280698,0.822169783,0.536837367,13.6096,0.564248335,59.1636,0
600480,凌云工业股份有限公司,40908,1.2322,7.333,2.0874,4.629427911,0.803402407,0.24883873,8.9347,0.484576672,20.0036,0
600480,凌云工业股份有限公司,41274,0.9983,3.464,2.3442,4.009142305,0.814230233,0.178372234,5.5751,2.062419048,12.3978,0
